dataset,publication,publishedDate,source,affiliation,subjects,openAlexTopics,openAlexSubfields,openAlexFields,openAlexDomains
https://doi.org/10.5061/dryad.6k2qm,https://doi.org/10.1111/mec.13206,2015-06-01T00:00:00Z,datacite,University of Oxford,NA,Genetic diversity and population structure; Species Distribution and Climate Change; Wildlife Ecology and Conservation,Genetics; Ecological Modeling; Ecology,"Biochemistry, Genetics and Molecular Biology; Environmental Science",Life Sciences; Physical Sciences
GSE43942,https://doi.org/10.1371/journal.pone.0116508,2015-02-13T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,Pregnancy and preeclampsia studies; MicroRNA in disease regulation; Reproductive System and Pregnancy,Obstetrics and Gynecology; Cancer Research; Immunology,"Medicine; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology",Health Sciences; Life Sciences
GSE181312,https://doi.org/10.1093/nar/gkac143,2022-04-08T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,DNA Repair Mechanisms; Genomics and Chromatin Dynamics; Genetics and Neurodevelopmental Disorders,Molecular Biology; Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.6084/m9.figshare.14229203,https://doi.org/10.1080/15548627.2021.1904488,2021-04-18T00:00:00Z,datacite,Fudan University,NA,Autophagy in Disease and Therapy; Adipose Tissue and Metabolism; Exercise and Physiological Responses,Epidemiology; Physiology; Rehabilitation,Medicine,Health Sciences
GSE22216,https://doi.org/10.1038/srep35773,2016-10-27T00:00:00Z,czi,University of Oxford,basic medicine; biological sciences,Gene expression and cancer classification; Bioinformatics and Genomic Networks; Genomics and Chromatin Dynamics,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE200818,https://doi.org/10.3389/fimmu.2023.1078310,2023-02-13T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Inflammatory Bowel Disease; Liver Diseases and Immunity; Digestive system and related health,Genetics; Hepatology,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.6084/m9.figshare.14884084,https://doi.org/10.1080/15384101.2021.1944512,2021-06-30T00:00:00Z,datacite,Fudan University,NA,Cancer-related molecular mechanisms research; MicroRNA in disease regulation; Circular RNAs in diseases,Cancer Research; Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.3886/icpsr31142,https://doi.org/10.1177/0042098013477698,2013-03-04T00:00:00Z,datacite,University of Michigan,NA,"Urban, Neighborhood, and Segregation Studies; Urban Design and Spatial Analysis; Urban Transport and Accessibility",Sociology and Political Science; Building and Construction; Transportation,Social Sciences; Engineering,Social Sciences; Physical Sciences
https://doi.org/10.3886/icpsr31142,https://doi.org/10.1177/0042098013477698,2013-03-04T00:00:00Z,datacite,University of Michigan,NA,"Urban, Neighborhood, and Segregation Studies; Urban Design and Spatial Analysis; Urban Transport and Accessibility",Sociology and Political Science; Building and Construction; Transportation,Social Sciences; Engineering,Social Sciences; Physical Sciences
https://doi.org/10.3886/icpsr31142,https://doi.org/10.1177/0042098013477698,2013-03-04T00:00:00Z,datacite,University of Michigan,NA,"Urban, Neighborhood, and Segregation Studies; Urban Design and Spatial Analysis; Urban Transport and Accessibility",Sociology and Political Science; Building and Construction; Transportation,Social Sciences; Engineering,Social Sciences; Physical Sciences
GSE47183,https://doi.org/10.1038/s41598-018-34004-7,2018-10-24T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Renal Diseases and Glomerulopathies; Ovarian function and disorders; Genetic Syndromes and Imprinting,Nephrology; Reproductive Medicine; Genetics,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.5061/dryad.5m5dr78,https://doi.org/10.1111/1365-2745.13016,2018-07-05T00:00:00Z,datacite,Fudan University,NA,Ecology and Vegetation Dynamics Studies; Plant and animal studies; Plant Parasitism and Resistance,"Nature and Landscape Conservation; Ecology, Evolution, Behavior and Systematics; Plant Science",Environmental Science; Agricultural and Biological Sciences,Physical Sciences; Life Sciences
https://doi.org/10.6084/m9.figshare.14978046.v1,https://doi.org/10.1186/s13059-021-02408-w,2021-07-13T00:00:00Z,datacite,Fudan University,NA,Microbial Community Ecology and Physiology; Methane Hydrates and Related Phenomena; Bacteriophages and microbial interactions,Ecology; Environmental Chemistry,Environmental Science,Physical Sciences
https://doi.org/10.5061/dryad.v2n81,https://doi.org/10.1666/13-082,2015-10-15T00:00:00Z,datacite,University of Oxford,NA,Evolution and Paleontology Studies; Paleontology and Evolutionary Biology; Paleontology and Stratigraphy of Fossils,Paleontology,Earth and Planetary Sciences,Physical Sciences
GSE49710,https://doi.org/10.34133/research.0033,2023-01-01T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,"Neuroblastoma Research and Treatments; Cancer, Hypoxia, and Metabolism; Immune cells in cancer",Neurology; Cancer Research; Immunology,"Medicine; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology",Health Sciences; Life Sciences
https://doi.org/10.6084/m9.figshare.13049345.v1,https://doi.org/10.1080/21655979.2020.1822105,2020-10-04T00:00:00Z,datacite,Fudan University,NA,Mitochondrial Function and Pathology; Metabolism and Genetic Disorders; ATP Synthase and ATPases Research,Molecular Biology; Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.3886/icpsr36167,https://doi.org/10.1037/cdp0000421,2021-07-01T00:00:00Z,datacite,University of Michigan,NA,Social and Intergroup Psychology; Racial and Ethnic Identity Research; International Relations in Latin America,Sociology and Political Science; Political Science and International Relations,Social Sciences,Social Sciences
https://doi.org/10.5281/zenodo.46595,https://doi.org/10.1016/j.chembiol.2014.11.010,2015-01-01T00:00:00Z,datacite,University of Oxford,NA,Plant biochemistry and biosynthesis; Microbial Natural Products and Biosynthesis; Metabolomics and Mass Spectrometry Studies,Molecular Biology; Pharmacology,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.6084/m9.figshare.20444350,https://doi.org/10.1186/s12920-022-01324-7,2022-08-05T00:00:00Z,datacite,Fudan University,NA,Hedgehog Signaling Pathway Studies; Tumors and Oncological Cases; Genetic and rare skin diseases.,Molecular Biology; Pathology and Forensic Medicine; Genetics,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.5061/dryad.18931zd46,https://doi.org/10.15560/20.1.58,2024-01-18T00:00:00Z,datacite,University of Michigan,NA,Amphibian and Reptile Biology; Species Distribution and Climate Change; Animal and Plant Science Education,Global and Planetary Change; Ecological Modeling; Social Psychology,Environmental Science; Psychology,Physical Sciences; Social Sciences
https://doi.org/10.5061/dryad.7c0q8,https://doi.org/10.1186/s12862-016-0784-z,2016-10-13T00:00:00Z,datacite,University of Oxford,NA,Genetic diversity and population structure; Avian ecology and behavior; Genomics and Phylogenetic Studies,Genetics; Ecology; Molecular Biology,"Biochemistry, Genetics and Molecular Biology; Environmental Science",Life Sciences; Physical Sciences
https://doi.org/10.5281/zenodo.3740232,https://doi.org/10.1002/aps3.11398,2020-11-01T00:00:00Z,eupmc,University of Michigan,NA,Genomics and Phylogenetic Studies; Molecular Biology Techniques and Applications; Chromosomal and Genetic Variations,Molecular Biology; Plant Science,"Biochemistry, Genetics and Molecular Biology; Agricultural and Biological Sciences",Life Sciences
GSE209652,https://doi.org/10.1038/s41467-022-33025-1,2022-09-12T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,CRISPR and Genetic Engineering; Autophagy in Disease and Therapy; Calcium signaling and nucleotide metabolism,Molecular Biology; Epidemiology; Physiology,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.6084/m9.figshare.21080443.v1,https://doi.org/10.1080/17512433.2022.2120468,2022-09-11T00:00:00Z,datacite,Fudan University,sociology,"Pharmaceutical studies and practices; Health Systems, Economic Evaluations, Quality of Life; Pharmaceutical Economics and Policy","Pediatrics, Perinatology and Child Health; Economics and Econometrics","Medicine; Economics, Econometrics and Finance",Health Sciences; Social Sciences
GSE93798,https://doi.org/10.1016/j.isci.2023.105961,2023-03-01T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,Renal Diseases and Glomerulopathies; Chronic Kidney Disease and Diabetes; Platelet Disorders and Treatments,Nephrology; Hematology,Medicine,Health Sciences
https://doi.org/10.6084/m9.figshare.22274671,https://doi.org/10.1080/00401706.2023.2190779,2023-04-12T00:00:00Z,datacite,Fudan University,NA,Statistical Methods and Inference; Bayesian Methods and Mixture Models; Statistical Methods and Bayesian Inference,Statistics and Probability; Artificial Intelligence,Mathematics; Computer Science,Physical Sciences
https://doi.org/10.6084/m9.figshare.19498066.v1,https://doi.org/10.1186/s13048-022-00969-3,2022-03-31T00:00:00Z,datacite,Fudan University,NA,Ovarian cancer diagnosis and treatment; Ferroptosis and cancer prognosis; RNA modifications and cancer,Reproductive Medicine; Pulmonary and Respiratory Medicine; Molecular Biology,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.3886/e129225v2,https://doi.org/10.1371/journal.pone.0067395,2013-07-01T00:00:00Z,datacite,University of Michigan,NA,"Psychological Well-being and Life Satisfaction; Health disparities and outcomes; Health, psychology, and well-being",Social Psychology; Health; General Health Professions,Psychology; Social Sciences; Health Professions,Social Sciences; Health Sciences
https://doi.org/10.3886/e183523v3-168321,https://doi.org/10.1093/gerona/glab373,2021-12-17T00:00:00Z,datacite,University of Michigan,NA,"Dementia and Cognitive Impairment Research; Health Systems, Economic Evaluations, Quality of Life",Psychiatry and Mental health; Economics and Econometrics,"Medicine; Economics, Econometrics and Finance",Health Sciences; Social Sciences
GSE142563,https://doi.org/10.1002/sctm.19-0448,2020-09-01T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Axon Guidance and Neuronal Signaling; Mesenchymal stem cell research; Congenital heart defects research,Cellular and Molecular Neuroscience; Genetics; Molecular Biology,"Neuroscience; Medicine; Biochemistry, Genetics and Molecular Biology",Life Sciences; Health Sciences
https://doi.org/10.5061/dryad.8vb83,https://doi.org/10.1111/1365-2656.12627,2017-03-01T00:00:00Z,datacite,University of Oxford,NA,Animal Ecology and Behavior Studies; Wildlife Ecology and Conservation; Neuroendocrine regulation and behavior,Ecology; Social Psychology,Environmental Science; Psychology,Physical Sciences; Social Sciences
GSE20602,https://doi.org/10.3892/mmr.2018.8405,2018-01-09T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,Renal Diseases and Glomerulopathies; Chronic Kidney Disease and Diabetes; Renin-Angiotensin System Studies,Nephrology; Cardiology and Cardiovascular Medicine,Medicine,Health Sciences
https://doi.org/10.3886/icpsr02766,https://doi.org/10.1111/cico.12152,2016-03-01T00:00:00Z,datacite,University of Michigan,NA,"Crime Patterns and Interventions; Urban, Neighborhood, and Segregation Studies; Health disparities and outcomes",Sociology and Political Science; Health,Social Sciences,Social Sciences
https://doi.org/10.6084/m9.figshare.21545976.v2,https://doi.org/10.1080/03007995.2022.2146405,2022-12-28T00:00:00Z,datacite,University of Oxford,sociology,Palliative Care and End-of-Life Issues; Amyotrophic Lateral Sclerosis Research; Parkinson's Disease Mechanisms and Treatments,"Public Health, Environmental and Occupational Health; Neurology",Medicine,Health Sciences
GSE7803,https://doi.org/10.1186/s13046-020-01737-1,2020-11-13T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,Epigenetics and DNA Methylation; Esophageal Cancer Research and Treatment; Advanced Glycation End Products research,Molecular Biology; Surgery; Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.3886/icpsr13589,https://doi.org/10.1017/s0033291721001380,2021-06-02T00:00:00Z,datacite,University of Michigan,NA,"Child Abuse and Trauma; Homelessness and Social Issues; Migration, Health and Trauma",Clinical Psychology; General Health Professions,Psychology; Health Professions,Social Sciences; Health Sciences
GSE108113,https://doi.org/10.3389/fimmu.2021.809325,2022-01-05T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,"Vasculitis and related conditions; Autoimmune Bullous Skin Diseases; Coagulation, Bradykinin, Polyphosphates, and Angioedema",Pulmonary and Respiratory Medicine; Pathology and Forensic Medicine; Genetics,Medicine,Health Sciences
https://doi.org/10.6084/m9.figshare.16613337,https://doi.org/10.1080/21655979.2021.1971508,2021-09-13T00:00:00Z,datacite,Fudan University,NA,Cancer-related molecular mechanisms research; Circular RNAs in diseases; MicroRNA in disease regulation,Cancer Research; Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.5061/dryad.gd14g,https://doi.org/10.1099/mgen.0.000184,2018-06-01T00:00:00Z,eupmc,University of Oxford,NA,Genomics and Phylogenetic Studies; Pneumonia and Respiratory Infections; Machine Learning in Bioinformatics,Molecular Biology; Epidemiology,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.5281/zenodo.5705163,https://doi.org/10.1029/2021ms002684,2022-02-01T00:00:00Z,eupmc,University of Oxford,NA,Parallel Computing and Optimization Techniques; Advanced Data Storage Technologies; Distributed and Parallel Computing Systems,Hardware and Architecture; Computer Networks and Communications,Computer Science,Physical Sciences
https://doi.org/10.3886/icpsr13588,https://doi.org/10.1007/s10964-012-9897-x,2013-01-01T00:00:00Z,datacite,University of Michigan,NA,Child Abuse and Trauma; Intimate Partner and Family Violence; Child and Adolescent Psychosocial and Emotional Development,Clinical Psychology; Health,Psychology; Social Sciences,Social Sciences
https://doi.org/10.6084/m9.figshare.21062313.v1,https://doi.org/10.1186/s13059-022-02752-5,2022-09-07T00:00:00Z,datacite,Fudan University,NA,Genetic Neurodegenerative Diseases; Mitochondrial Function and Pathology; Muscle Physiology and Disorders,Cellular and Molecular Neuroscience; Molecular Biology,"Neuroscience; Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.3886/e199264v1-152522,https://doi.org/10.1257/pandp.20241083,2024-05-01T00:00:00Z,datacite,University of Michigan,NA,Crime Patterns and Interventions; Gun Ownership and Violence Research; Employment and Welfare Studies,Sociology and Political Science; Health; General Health Professions,Social Sciences; Health Professions,Social Sciences; Health Sciences
https://doi.org/10.3886/icpsr02268,https://doi.org/10.1136/bmjopen-2018-025880,2019-07-01T00:00:00Z,datacite,University of Michigan,NA,Cannabis and Cannabinoid Research; Prenatal Substance Exposure Effects; Substance Abuse Treatment and Outcomes,"Pharmacology; Pediatrics, Perinatology and Child Health; Epidemiology",Medicine,Health Sciences
https://doi.org/10.6084/m9.figshare.21062343.v1,https://doi.org/10.1186/s13059-022-02752-5,2022-09-07T00:00:00Z,datacite,Fudan University,NA,Genetic Neurodegenerative Diseases; Mitochondrial Function and Pathology; Muscle Physiology and Disorders,Cellular and Molecular Neuroscience; Molecular Biology,"Neuroscience; Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.5061/dryad.4d0d2,https://doi.org/10.1098/rspb.2013.1780,2013-10-07T00:00:00Z,datacite,University of Oxford,NA,Paleontology and Evolutionary Biology; Evolution and Paleontology Studies; Morphological variations and asymmetry,Paleontology; Geometry and Topology,Earth and Planetary Sciences; Mathematics,Physical Sciences
https://doi.org/10.5061/dryad.cfxpnvx3d,https://doi.org/10.1038/s41467-022-28345-1,2022-02-15T00:00:00Z,datacite,University of Michigan,NA,Soil Carbon and Nitrogen Dynamics; Soil and Water Nutrient Dynamics; Peatlands and Wetlands Ecology,Soil Science; Environmental Chemistry; Ecology,Agricultural and Biological Sciences; Environmental Science,Life Sciences; Physical Sciences
https://doi.org/10.6084/m9.figshare.16782671,https://doi.org/10.1080/0886022x.2021.1986408,2021-10-11T00:00:00Z,datacite,Fudan University,NA,COVID-19 Clinical Research Studies; Long-Term Effects of COVID-19; Dialysis and Renal Disease Management,Infectious Diseases; Neurology; Nephrology,Medicine,Health Sciences
GSE63157,https://doi.org/10.1155/2022/8798624,2022-01-27T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Sarcoma Diagnosis and Treatment; RNA modifications and cancer; Cancer-related molecular mechanisms research,Pulmonary and Respiratory Medicine; Molecular Biology; Cancer Research,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.6084/m9.figshare.17134117,https://doi.org/10.1080/22221751.2021.2004864,2021-12-06T00:00:00Z,datacite,University of Michigan,NA,Infectious Diseases and Tuberculosis; Autoimmune and Inflammatory Disorders Research; Tuberculosis Research and Epidemiology,Surgery; Hematology; Infectious Diseases,Medicine,Health Sciences
https://doi.org/10.6084/m9.figshare.17134117,https://doi.org/10.1080/22221751.2021.2004864,2021-12-06T00:00:00Z,datacite,University of Oxford,NA,Infectious Diseases and Tuberculosis; Autoimmune and Inflammatory Disorders Research; Tuberculosis Research and Epidemiology,Surgery; Hematology; Infectious Diseases,Medicine,Health Sciences
https://doi.org/10.3886/icpsr13697,https://doi.org/10.1080/10826084.2016.1191513,2016-08-02T00:00:00Z,datacite,University of Michigan,NA,Substance Abuse Treatment and Outcomes; Racial and Ethnic Identity Research; Homelessness and Social Issues,Epidemiology; Sociology and Political Science; General Health Professions,Medicine; Social Sciences; Health Professions,Health Sciences; Social Sciences
GSE42861,https://doi.org/10.1186/s12885-020-6574-4,2020-01-31T00:00:00Z,czi,Fudan University,biological sciences; basic medicine,Epigenetics and DNA Methylation; Cancer Genomics and Diagnostics; RNA modifications and cancer,Molecular Biology; Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE69438,https://doi.org/10.3389/fimmu.2022.843576,2022-04-27T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,S100 Proteins and Annexins; Cell Adhesion Molecules Research; Inflammatory mediators and NSAID effects,Molecular Biology; Immunology and Allergy; Pharmacology,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.5061/dryad.mk3dc,https://doi.org/10.1111/mec.13305,2015-07-30T00:00:00Z,datacite,University of Michigan,NA,Animal Ecology and Behavior Studies; Genetic diversity and population structure; Isotope Analysis in Ecology,Ecology; Genetics,"Environmental Science; Biochemistry, Genetics and Molecular Biology",Physical Sciences; Life Sciences
GSE104954,https://doi.org/10.1186/s41065-022-00249-6,2022-09-26T00:00:00Z,czi,University of Michigan,basic medicine; biological sciences,Cancer-related molecular mechanisms research; Pregnancy and preeclampsia studies; Ferroptosis and cancer prognosis,Cancer Research; Obstetrics and Gynecology; Pulmonary and Respiratory Medicine,"Biochemistry, Genetics and Molecular Biology; Medicine",Life Sciences; Health Sciences
https://doi.org/10.22033/esgf/cmip6.5016,https://doi.org/10.1017/9781009157896.005,2023-07-06T00:00:00Z,datacite,University of Oxford,NA,"Climate Change, Adaptation, Migration",Sociology and Political Science,Social Sciences,Social Sciences
https://doi.org/10.5061/dryad.80gb5mkn2,https://doi.org/10.1002/ece3.5791,2019-11-07T00:00:00Z,eupmc,University of Michigan,NA,Study of Mite Species; Genetic diversity and population structure; Parasite Biology and Host Interactions,"Ecology, Evolution, Behavior and Systematics; Genetics; Ecology","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science",Life Sciences; Physical Sciences
https://doi.org/10.5061/dryad.kwh70rz1h,https://doi.org/10.1111/desc.12987,2020-06-18T00:00:00Z,eupmc,University of Michigan,NA,Child and Animal Learning Development; Action Observation and Synchronization; Primate Behavior and Ecology,Developmental and Educational Psychology; Social Psychology,Psychology,Social Sciences
GSE73314,https://doi.org/10.3389/fimmu.2019.00197,2019-03-06T00:00:00Z,czi,University of Oxford,basic medicine; biological sciences,T-cell and B-cell Immunology; Cytomegalovirus and herpesvirus research; Immune Cell Function and Interaction,Immunology; Epidemiology,Immunology and Microbiology; Medicine,Life Sciences; Health Sciences
https://doi.org/10.6084/m9.figshare.21679320.v2,https://doi.org/10.1080/17565529.2022.2129954,2022-12-05T00:00:00Z,datacite,University of Oxford,sociology,"Climate change impacts on agriculture; Climate Change, Adaptation, Migration; Sustainability and Climate Change Governance","Ecology, Evolution, Behavior and Systematics; Sociology and Political Science; Global and Planetary Change",Agricultural and Biological Sciences; Social Sciences; Environmental Science,Life Sciences; Social Sciences; Physical Sciences
https://doi.org/10.3886/icpsr13608,https://doi.org/10.1002/jcop.22345,2020-03-28T00:00:00Z,datacite,University of Michigan,NA,"Migration, Health and Trauma; Child Abuse and Trauma; Racial and Ethnic Identity Research",Clinical Psychology; Sociology and Political Science,Psychology; Social Sciences,Social Sciences
https://doi.org/10.5061/dryad.6r4j8,https://doi.org/10.1111/pala.12206,2016-01-01T00:00:00Z,datacite,University of Oxford,NA,Paleontology and Stratigraphy of Fossils; Paleontology and Evolutionary Biology; Geology and Paleoclimatology Research,Paleontology; Atmospheric Science,Earth and Planetary Sciences,Physical Sciences
https://doi.org/10.5061/dryad.kc041,https://doi.org/10.1098/rspb.2017.2590,2018-01-24T00:00:00Z,eupmc,University of Oxford,NA,Cephalopods and Marine Biology; Echinoderm biology and ecology; Coral and Marine Ecosystems Studies,"Ecology, Evolution, Behavior and Systematics; Aquatic Science; Ecology",Agricultural and Biological Sciences; Environmental Science,Life Sciences; Physical Sciences
https://doi.org/10.5061/dryad.7nd42,https://doi.org/10.1186/s12862-015-0403-4,2015-07-21T00:00:00Z,eupmc,University of Michigan,NA,"Fish biology, ecology, and behavior; Fish Biology and Ecology Studies; Fish Ecology and Management Studies",Nature and Landscape Conservation; Aquatic Science,Environmental Science; Agricultural and Biological Sciences,Physical Sciences; Life Sciences
GSM2811053,https://doi.org/10.3892/mmr.2019.10443,2019-06-28T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Renal cell carcinoma treatment; Renal and related cancers; Chronic Kidney Disease and Diabetes,Pulmonary and Respiratory Medicine; Molecular Biology; Nephrology,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.6084/m9.figshare.28088334.v1,https://doi.org/10.1186/s13293-024-00682-4,2024-12-23T00:00:00Z,datacite,Fudan University,NA,Epigenetics and DNA Methylation; Genomics and Chromatin Dynamics; RNA modifications and cancer,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE20194,https://doi.org/10.1038/srep30672,2016-07-29T00:00:00Z,czi,Fudan University,basic medicine; biological sciences,Gene expression and cancer classification; Bioinformatics and Genomic Networks; Gene Regulatory Network Analysis,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE8052,https://doi.org/10.1186/1755-8794-6-47,2013-11-05T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Vitamin D Research Studies; Asthma and respiratory diseases; Neonatal Respiratory Health Research,Pathology and Forensic Medicine; Physiology; Pulmonary and Respiratory Medicine,Medicine,Health Sciences
https://doi.org/10.5061/dryad.d32t9v4,https://doi.org/10.1111/oik.05402,2018-12-01T00:00:00Z,datacite,University of Michigan,NA,Mycorrhizal Fungi and Plant Interactions; Plant Parasitism and Resistance; Plant and animal studies,"Plant Science; Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences
https://doi.org/10.3886/icpsr13679,https://doi.org/10.1111/jomf.12989,2024-04-03T00:00:00Z,datacite,University of Michigan,NA,Criminal Justice and Corrections Analysis; Marriage and Family Dynamics; Intimate Partner and Family Violence,Sociology and Political Science; Health,Social Sciences,Social Sciences
GSE62564,https://doi.org/10.1186/s13062-018-0214-9,2018-06-07T00:00:00Z,czi,Fudan University,biological sciences; basic medicine,Neuroblastoma Research and Treatments; Bioinformatics and Genomic Networks; Epigenetics and DNA Methylation,Neurology; Molecular Biology,"Medicine; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.6084/m9.figshare.21062304.v1,https://doi.org/10.1186/s13059-022-02752-5,2022-09-07T00:00:00Z,datacite,Fudan University,NA,Genetic Neurodegenerative Diseases; Mitochondrial Function and Pathology; Muscle Physiology and Disorders,Cellular and Molecular Neuroscience; Molecular Biology,"Neuroscience; Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.3886/icpsr36380,https://doi.org/10.1111/jora.12586,2020-10-18T00:00:00Z,datacite,University of Michigan,NA,"Racial and Ethnic Identity Research; Urban, Neighborhood, and Segregation Studies; Child and Adolescent Psychosocial and Emotional Development",Sociology and Political Science; Clinical Psychology,Social Sciences; Psychology,Social Sciences
https://doi.org/10.3886/icpsr36380,https://doi.org/10.1111/jora.12586,2020-10-18T00:00:00Z,datacite,University of Michigan,NA,"Racial and Ethnic Identity Research; Urban, Neighborhood, and Segregation Studies; Child and Adolescent Psychosocial and Emotional Development",Sociology and Political Science; Clinical Psychology,Social Sciences; Psychology,Social Sciences
https://doi.org/10.3886/e111107v1-22485,https://doi.org/10.1177/0164027512470702,2013-01-02T00:00:00Z,datacite,University of Michigan,NA,"Health disparities and outcomes; Urban, Neighborhood, and Segregation Studies; Urban Transport and Accessibility",Health; Sociology and Political Science; Transportation,Social Sciences,Social Sciences
https://doi.org/10.6084/m9.figshare.14978016.v1,https://doi.org/10.1186/s13059-021-02408-w,2021-07-13T00:00:00Z,datacite,Fudan University,NA,Microbial Community Ecology and Physiology; Methane Hydrates and Related Phenomena; Bacteriophages and microbial interactions,Ecology; Environmental Chemistry,Environmental Science,Physical Sciences
https://doi.org/10.5061/dryad.k0p2ngfgg,https://doi.org/10.1101/2024.05.30.596055,2024-06-03T00:00:00Z,datacite,University of Oxford,NA,Animal Ecology and Behavior Studies; Wildlife Ecology and Conservation; Isotope Analysis in Ecology,Ecology,Environmental Science,Physical Sciences
GSE32591,https://doi.org/10.3389/fimmu.2022.839197,2022-12-02T00:00:00Z,czi,University of Michigan,biological sciences; basic medicine,Systemic Lupus Erythematosus Research; Atherosclerosis and Cardiovascular Diseases; interferon and immune responses,Rheumatology; Immunology,Medicine; Immunology and Microbiology,Health Sciences; Life Sciences
https://doi.org/10.3886/icpsr30263.v6,https://doi.org/10.1038/s41558-018-0126-9,2018-04-23T00:00:00Z,datacite,University of Michigan,NA,Climate Change Communication and Perception; Environmental Education and Sustainability; Misinformation and Its Impacts,"Sociology and Political Science; Management, Monitoring, Policy and Law",Social Sciences; Environmental Science,Social Sciences; Physical Sciences
https://doi.org/10.3886/icpsr13581,https://doi.org/10.1002/jad.12290,2023-12-27T00:00:00Z,datacite,University of Michigan,NA,Youth Development and Social Support; Homelessness and Social Issues; Community Health and Development,Safety Research; General Health Professions,Social Sciences; Health Professions,Social Sciences; Health Sciences
https://doi.org/10.6084/m9.figshare.17257315.v1,https://doi.org/10.1080/21505594.2021.2000689,2021-12-16T00:00:00Z,datacite,Fudan University,NA,Cytomegalovirus and herpesvirus research; Toxoplasma gondii Research Studies; Ubiquitin and proteasome pathways,Epidemiology; Parasitology; Molecular Biology,"Medicine; Immunology and Microbiology; Biochemistry, Genetics and Molecular Biology",Health Sciences; Life Sciences
https://doi.org/10.6084/m9.figshare.19361672,https://doi.org/10.1080/15384101.2022.2050645,2022-03-15T00:00:00Z,datacite,Fudan University,NA,Circular RNAs in diseases; MicroRNA in disease regulation; RNA modifications and cancer,Molecular Biology; Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences
GSE5350,https://doi.org/10.1093/nar/gkw538,2016-09-19T00:00:00Z,czi,Fudan University,biological sciences; basic medicine,RNA modifications and cancer; RNA Research and Splicing; Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
https://doi.org/10.5061/dryad.c8335,https://doi.org/10.1093/molbev/mss220,2013-01-01T00:00:00Z,datacite,University of Oxford,NA,Plant Molecular Biology Research; Plant Reproductive Biology; Photosynthetic Processes and Mechanisms,Plant Science; Molecular Biology,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",Life Sciences
